onset	duration	nwb_table	treelevel
10.196000099182129	0.09999999999999964	epochs	0.0
10.196000099182129	0.04499999999999993	epochs	1.0
10.241000099182129	0.009999999999999787	epochs	1.0
10.251000099182129	0.04499999999999993	epochs	1.0
10.296000099182129	0.7049950000000003	epochs	0.0
10.296000099182129	0.5	epochs	-1.0
10.296000099182129	0.5	epochs	-1.0
10.296000099182129	0.5	epochs	1.0
10.796000099182129	0.0600000000000005	epochs	-1.0
10.796000099182129	0.025000000000000355	epochs	-1.0
10.796000099182129	0.025000000000000355	epochs	1.0
10.821000099182129	0.009999999999999787	epochs	-1.0
10.821000099182129	0.009999999999999787	epochs	1.0
10.831000099182129	0.025000000000000355	epochs	-1.0
10.831000099182129	0.025000000000000355	epochs	1.0
10.856000099182129	0.0600000000000005	epochs	-1.0
10.856000099182129	0.025000000000000355	epochs	-1.0
10.856000099182129	0.025000000000000355	epochs	1.0
10.88100009918213	0.009999999999999787	epochs	-1.0
10.88100009918213	0.009999999999999787	epochs	1.0
10.89100009918213	0.025000000000000355	epochs	-1.0
10.89100009918213	0.025000000000000355	epochs	1.0
10.91600009918213	0.05999999999999872	epochs	-1.0
10.91600009918213	0.02499999999999858	epochs	-1.0
10.91600009918213	0.02499999999999858	epochs	1.0
10.941000099182128	0.010000000000001563	epochs	-1.0
10.941000099182128	0.010000000000001563	epochs	1.0
10.95100009918213	0.02499999999999858	epochs	-1.0
10.95100009918213	0.02499999999999858	epochs	1.0
10.976000099182128	0.024995000000000545	epochs	1.0
5305.139000415802	0.1000000000003638	epochs	0.0
5305.139000415802	0.04500000000007276	epochs	1.0
5305.184000415802	0.010000000000218279	epochs	1.0
5305.194000415802	0.04500000000007276	epochs	1.0
5305.239000415802	0.7049950000000536	epochs	0.0
5305.239000415802	0.5	epochs	-1.0
5305.239000415802	0.5	epochs	1.0
5305.739000415802	0.05999999999949068	epochs	-1.0
5305.739000415802	0.024999999999636202	epochs	-1.0
5305.739000415802	0.024999999999636202	epochs	1.0
5305.764000415802	0.010000000000218279	epochs	-1.0
5305.764000415802	0.010000000000218279	epochs	1.0
5305.774000415802	0.024999999999636202	epochs	-1.0
5305.774000415802	0.024999999999636202	epochs	1.0
5305.799000415802	0.06000000000040018	epochs	-1.0
5305.799000415802	0.025000000000545697	epochs	-1.0
5305.799000415802	0.025000000000545697	epochs	1.0
5305.824000415802	0.009999999999308784	epochs	-1.0
5305.824000415802	0.009999999999308784	epochs	1.0
5305.834000415802	0.025000000000545697	epochs	-1.0
5305.834000415802	0.025000000000545697	epochs	1.0
5305.859000415802	0.05999999999949068	epochs	-1.0
5305.859000415802	0.024999999999636202	epochs	-1.0
5305.859000415802	0.024999999999636202	epochs	1.0
5305.884000415802	0.010000000000218279	epochs	-1.0
5305.884000415802	0.010000000000218279	epochs	1.0
5305.894000415802	0.024999999999636202	epochs	-1.0
5305.894000415802	0.024999999999636202	epochs	1.0
