onset	duration	nwb_table	treelevel
8.502000331878662	0.09999999999999964	epochs	0.0
8.502000331878662	0.04499999999999993	epochs	1.0
8.547000331878662	0.009999999999999787	epochs	1.0
8.557000331878662	0.04499999999999993	epochs	1.0
8.602000331878662	0.7049950000000003	epochs	0.0
8.602000331878662	0.5	epochs	-1.0
8.602000331878662	0.5	epochs	-1.0
8.602000331878662	0.5	epochs	1.0
9.102000331878662	0.0600000000000005	epochs	-1.0
9.102000331878662	0.025000000000000355	epochs	-1.0
9.102000331878662	0.025000000000000355	epochs	1.0
9.127000331878662	0.009999999999999787	epochs	-1.0
9.127000331878662	0.009999999999999787	epochs	1.0
9.137000331878662	0.025000000000000355	epochs	-1.0
9.137000331878662	0.025000000000000355	epochs	1.0
9.162000331878662	0.0600000000000005	epochs	-1.0
9.162000331878662	0.025000000000000355	epochs	-1.0
9.162000331878662	0.025000000000000355	epochs	1.0
9.187000331878663	0.009999999999999787	epochs	-1.0
9.187000331878663	0.009999999999999787	epochs	1.0
9.197000331878662	0.025000000000000355	epochs	-1.0
9.197000331878662	0.025000000000000355	epochs	1.0
9.222000331878663	0.05999999999999872	epochs	-1.0
9.222000331878663	0.02499999999999858	epochs	-1.0
9.222000331878663	0.02499999999999858	epochs	1.0
9.247000331878661	0.010000000000001563	epochs	-1.0
9.247000331878661	0.010000000000001563	epochs	1.0
9.257000331878663	0.02499999999999858	epochs	-1.0
9.257000331878663	0.02499999999999858	epochs	1.0
9.282000331878661	0.024995000000000545	epochs	1.0
735.3660001754761	0.10000000000002274	epochs	0.0
735.3660001754761	0.04499999999995907	epochs	1.0
735.411000175476	0.009999999999990905	epochs	1.0
735.421000175476	0.04500000000007276	epochs	1.0
735.4660001754761	0.7049949999999399	epochs	0.0
735.4660001754761	0.5	epochs	-1.0
735.4660001754761	0.5	epochs	1.0
735.9660001754761	0.05999999999994543	epochs	-1.0
735.9660001754761	0.024999999999977263	epochs	-1.0
735.9660001754761	0.024999999999977263	epochs	1.0
735.9910001754761	0.009999999999990905	epochs	-1.0
735.9910001754761	0.009999999999990905	epochs	1.0
736.0010001754761	0.024999999999977263	epochs	-1.0
736.0010001754761	0.024999999999977263	epochs	1.0
736.026000175476	0.06000000000005912	epochs	-1.0
736.026000175476	0.024999999999977263	epochs	-1.0
736.026000175476	0.024999999999977263	epochs	1.0
