onset	duration	nwb_table	treelevel
10.34600019454956	0.09999999999999964	epochs	0.0
10.34600019454956	0.04499999999999993	epochs	1.0
10.39100019454956	0.009999999999999787	epochs	1.0
10.40100019454956	0.04499999999999993	epochs	1.0
10.44600019454956	0.7049950000000003	epochs	0.0
10.44600019454956	0.5	epochs	-1.0
10.44600019454956	0.5	epochs	-1.0
10.44600019454956	0.5	epochs	1.0
10.94600019454956	0.0600000000000005	epochs	-1.0
10.94600019454956	0.025000000000000355	epochs	-1.0
10.94600019454956	0.025000000000000355	epochs	1.0
10.97100019454956	0.009999999999999787	epochs	-1.0
10.97100019454956	0.009999999999999787	epochs	1.0
10.98100019454956	0.025000000000000355	epochs	-1.0
10.98100019454956	0.025000000000000355	epochs	1.0
11.00600019454956	0.0600000000000005	epochs	-1.0
11.00600019454956	0.025000000000000355	epochs	-1.0
11.00600019454956	0.025000000000000355	epochs	1.0
11.031000194549561	0.009999999999999787	epochs	-1.0
11.031000194549561	0.009999999999999787	epochs	1.0
11.04100019454956	0.025000000000000355	epochs	-1.0
11.04100019454956	0.025000000000000355	epochs	1.0
11.066000194549561	0.05999999999999872	epochs	-1.0
11.066000194549561	0.02499999999999858	epochs	-1.0
11.066000194549561	0.02499999999999858	epochs	1.0
11.09100019454956	0.010000000000001563	epochs	-1.0
11.09100019454956	0.010000000000001563	epochs	1.0
11.101000194549561	0.02499999999999858	epochs	-1.0
11.101000194549561	0.02499999999999858	epochs	1.0
11.12600019454956	0.024995000000000545	epochs	1.0
235.49399995803833	0.09999999999999432	epochs	0.0
235.49399995803833	0.044999999999987494	epochs	1.0
235.53899995803832	0.010000000000019327	epochs	1.0
235.54899995803834	0.044999999999987494	epochs	1.0
235.59399995803832	0.7049949999999967	epochs	0.0
235.59399995803832	0.5	epochs	-1.0
235.59399995803832	0.5	epochs	1.0
236.09399995803832	0.060000000000002274	epochs	-1.0
236.09399995803832	0.025000000000005684	epochs	-1.0
236.09399995803832	0.025000000000005684	epochs	1.0
236.11899995803833	0.009999999999990905	epochs	-1.0
236.11899995803833	0.009999999999990905	epochs	1.0
236.12899995803832	0.025000000000005684	epochs	-1.0
236.12899995803832	0.025000000000005684	epochs	1.0
236.15399995803833	0.060000000000002274	epochs	-1.0
236.15399995803833	0.025000000000005684	epochs	-1.0
236.15399995803833	0.025000000000005684	epochs	1.0
236.17899995803833	0.009999999999990905	epochs	-1.0
236.17899995803833	0.009999999999990905	epochs	1.0
236.18899995803832	0.025000000000005684	epochs	-1.0
236.18899995803832	0.025000000000005684	epochs	1.0
236.21399995803833	0.060000000000002274	epochs	-1.0
236.21399995803833	0.025000000000005684	epochs	-1.0
236.21399995803833	0.025000000000005684	epochs	1.0
236.23899995803833	0.009999999999990905	epochs	-1.0
236.23899995803833	0.009999999999990905	epochs	1.0
236.24899995803833	0.025000000000005684	epochs	-1.0
236.24899995803833	0.025000000000005684	epochs	1.0
236.27399995803833	0.024994999999989886	epochs	1.0
300.78399991989136	0.10000000000002274	epochs	0.0
300.78399991989136	0.045000000000015916	epochs	1.0
300.8289999198914	0.009999999999990905	epochs	1.0
300.83899991989136	0.045000000000015916	epochs	1.0
300.8839999198914	61.384995	epochs	0.0
300.8839999198914	0.5	epochs	-1.0
300.8839999198914	0.5	epochs	-1.0
300.8839999198914	0.5	epochs	1.0
301.3839999198914	0.060000000000002274	epochs	-1.0
301.3839999198914	0.024999999999977263	epochs	-1.0
301.3839999198914	0.024999999999977263	epochs	1.0
301.40899991989136	0.009999999999990905	epochs	-1.0
301.40899991989136	0.009999999999990905	epochs	1.0
301.41899991989135	0.025000000000034106	epochs	-1.0
301.41899991989135	0.025000000000034106	epochs	1.0
301.4439999198914	0.060000000000002274	epochs	-1.0
301.4439999198914	0.024999999999977263	epochs	-1.0
301.4439999198914	0.024999999999977263	epochs	1.0
301.46899991989136	0.009999999999990905	epochs	-1.0
301.46899991989136	0.009999999999990905	epochs	1.0
301.47899991989135	0.025000000000034106	epochs	-1.0
301.47899991989135	0.025000000000034106	epochs	1.0
301.5039999198914	0.05999999999994543	epochs	-1.0
301.5039999198914	0.024999999999977263	epochs	-1.0
301.5039999198914	0.024999999999977263	epochs	1.0
301.52899991989136	0.009999999999990905	epochs	-1.0
301.52899991989136	0.009999999999990905	epochs	1.0
301.53899991989135	0.024999999999977263	epochs	-1.0
301.53899991989135	0.024999999999977263	epochs	1.0
301.56399991989133	60.0	epochs	1.0
361.56399991989133	0.5	epochs	-1.0
361.56399991989133	0.5	epochs	-1.0
361.56399991989133	0.5	epochs	1.0
362.06399991989133	0.06000000000005912	epochs	-1.0
362.06399991989133	0.025000000000034106	epochs	-1.0
362.06399991989133	0.025000000000034106	epochs	1.0
362.08899991989136	0.009999999999990905	epochs	-1.0
362.08899991989136	0.009999999999990905	epochs	1.0
362.09899991989136	0.025000000000034106	epochs	-1.0
362.09899991989136	0.025000000000034106	epochs	1.0
362.1239999198914	0.05999999999994543	epochs	-1.0
362.1239999198914	0.024999999999977263	epochs	-1.0
362.1239999198914	0.024999999999977263	epochs	1.0
362.14899991989137	0.009999999999990905	epochs	-1.0
362.14899991989137	0.009999999999990905	epochs	1.0
362.15899991989136	0.024999999999977263	epochs	-1.0
362.15899991989136	0.024999999999977263	epochs	1.0
362.18399991989133	0.060000000000002274	epochs	-1.0
362.18399991989133	0.025000000000034106	epochs	-1.0
362.18399991989133	0.025000000000034106	epochs	1.0
362.20899991989137	0.009999999999990905	epochs	-1.0
362.20899991989137	0.009999999999990905	epochs	1.0
362.21899991989136	0.024999999999977263	epochs	-1.0
362.21899991989136	0.024999999999977263	epochs	1.0
362.24399991989134	0.02499500000004673	epochs	1.0
394.09999990463257	0.10000000000002274	epochs	0.0
394.09999990463257	0.045000000000015916	epochs	1.0
394.1449999046326	0.009999999999990905	epochs	1.0
394.1549999046326	0.045000000000015916	epochs	1.0
394.1999999046326	0.7049949999999967	epochs	0.0
394.1999999046326	0.5	epochs	-1.0
394.1999999046326	0.5	epochs	-1.0
394.1999999046326	0.5	epochs	1.0
394.6999999046326	0.060000000000002274	epochs	-1.0
394.6999999046326	0.024999999999977263	epochs	-1.0
394.6999999046326	0.024999999999977263	epochs	1.0
394.72499990463257	0.009999999999990905	epochs	-1.0
394.72499990463257	0.009999999999990905	epochs	1.0
394.73499990463256	0.025000000000034106	epochs	-1.0
394.73499990463256	0.025000000000034106	epochs	1.0
394.7599999046326	0.060000000000002274	epochs	-1.0
394.7599999046326	0.024999999999977263	epochs	-1.0
394.7599999046326	0.024999999999977263	epochs	1.0
394.78499990463257	0.009999999999990905	epochs	-1.0
394.78499990463257	0.009999999999990905	epochs	1.0
394.79499990463256	0.025000000000034106	epochs	-1.0
394.79499990463256	0.025000000000034106	epochs	1.0
394.8199999046326	0.05999999999994543	epochs	-1.0
394.8199999046326	0.024999999999977263	epochs	-1.0
394.8199999046326	0.024999999999977263	epochs	1.0
394.8449999046326	0.009999999999990905	epochs	-1.0
394.8449999046326	0.009999999999990905	epochs	1.0
394.85499990463256	0.024999999999977263	epochs	-1.0
394.85499990463256	0.024999999999977263	epochs	1.0
394.87999990463254	0.02499500000004673	epochs	1.0
430.4830002784729	0.049539999999979045	epochs	0.0
430.4830002784729	0.01977140000002464	epochs	1.0
430.5027716784729	0.009997199999986606	epochs	1.0
430.5127688784729	0.019771399999967798	epochs	1.0
430.5325402784729	5.999979999999994	epochs	0.0
430.5325402784729	0.5	epochs	1.0
430.5325542784729	0.5	epochs	-1.0
430.5325542784729	0.5	epochs	-1.0
431.0325402784729	5.0	epochs	1.0
436.0325402784729	0.49997999999999365	epochs	1.0
436.0325542784729	0.49996599999997215	epochs	-1.0
442.46799993515015	0.049539999999979045	epochs	0.0
442.46799993515015	0.01977140000002464	epochs	1.0
442.48777133515017	0.009997199999986606	epochs	1.0
442.49776853515016	0.019771399999967798	epochs	1.0
442.5175399351501	2.5102600000000166	epochs	0.0
442.5175399351501	0.5	epochs	1.0
442.51755393515015	0.5	epochs	-1.0
443.0175399351501	1.0	epochs	1.0
444.0175399351501	1.0102600000000166	epochs	1.0
444.51755393515015	0.5	epochs	-1.0
445.02779993515014	0.9897199999999771	epochs	0.0
445.3680000305176	0.049539999999979045	epochs	0.0
445.3680000305176	0.01977140000002464	epochs	1.0
445.3877714305176	0.009997199999986606	epochs	1.0
445.3977686305176	0.019771399999967798	epochs	1.0
445.41754003051756	2.510280000000023	epochs	0.0
445.41754003051756	0.5	epochs	1.0
445.4175540305176	0.5	epochs	-1.0
445.91754003051756	1.0	epochs	1.0
446.91754003051756	1.010280000000023	epochs	1.0
447.4175540305176	0.5	epochs	-1.0
447.9278200305176	0.9896999999999707	epochs	0.0
448.2779998779297	0.049539999999979045	epochs	0.0
448.2779998779297	0.01977140000002464	epochs	1.0
448.2977712779297	0.009997199999986606	epochs	1.0
448.3077684779297	0.019771399999967798	epochs	1.0
448.32753987792967	2.510400000000004	epochs	0.0
448.32753987792967	0.5	epochs	1.0
448.3275538779297	0.5	epochs	-1.0
448.82753987792967	1.0	epochs	1.0
449.82753987792967	1.0104000000000042	epochs	1.0
450.3275538779297	0.5	epochs	-1.0
450.83793987792967	0.9895799999999895	epochs	0.0
451.1280002593994	0.049539999999979045	epochs	0.0
451.1280002593994	0.01977140000002464	epochs	1.0
451.14777165939944	0.009997199999986606	epochs	1.0
451.1577688593994	0.019771399999967798	epochs	1.0
451.1775402593994	2.510280000000023	epochs	0.0
451.1775402593994	0.5	epochs	1.0
451.1775542593994	0.5	epochs	-1.0
451.6775402593994	1.0	epochs	1.0
452.6775402593994	1.010280000000023	epochs	1.0
453.1775542593994	0.5	epochs	-1.0
453.6878202593994	0.9896999999999707	epochs	0.0
454.0110001564026	0.049539999999979045	epochs	0.0
454.0110001564026	0.01977140000002464	epochs	1.0
454.0307715564026	0.009997199999986606	epochs	1.0
454.0407687564026	0.019771399999967798	epochs	1.0
454.06054015640257	2.510280000000023	epochs	0.0
454.06054015640257	0.5	epochs	1.0
454.0605541564026	0.5	epochs	-1.0
454.56054015640257	1.0	epochs	1.0
455.56054015640257	1.010280000000023	epochs	1.0
456.0605541564026	0.5	epochs	-1.0
456.5708201564026	0.9896999999999707	epochs	0.0
456.91100025177	0.6499800000000278	epochs	0.0
456.91100025177	0.05000000000001137	epochs	1.0
456.96100025177003	0.5	epochs	1.0
457.46100025177003	0.09998000000001639	epochs	1.0
457.9930000305176	0.6499800000000278	epochs	0.0
457.9930000305176	0.05000000000001137	epochs	1.0
458.0430000305176	0.5	epochs	1.0
458.5430000305176	0.09998000000001639	epochs	1.0
459.04300022125244	0.6499800000000278	epochs	0.0
459.04300022125244	0.05000000000001137	epochs	1.0
459.09300022125245	0.5	epochs	1.0
459.59300022125245	0.09998000000001639	epochs	1.0
460.07600021362305	0.6499800000000278	epochs	0.0
460.07600021362305	0.05000000000001137	epochs	1.0
460.12600021362306	0.5	epochs	1.0
460.62600021362306	0.09998000000001639	epochs	1.0
461.1930003166199	0.6499800000000278	epochs	0.0
461.1930003166199	0.05000000000001137	epochs	1.0
461.2430003166199	0.5	epochs	1.0
461.7430003166199	0.09998000000001639	epochs	1.0
462.2430000305176	0.6499800000000278	epochs	0.0
462.2430000305176	0.05000000000001137	epochs	1.0
462.2930000305176	0.5	epochs	1.0
462.7930000305176	0.09998000000001639	epochs	1.0
463.37599992752075	0.049539999999979045	epochs	0.0
463.37599992752075	0.01977140000002464	epochs	1.0
463.3957713275208	0.009997199999986606	epochs	1.0
463.40576852752076	0.019771399999967798	epochs	1.0
463.42553992752073	0.5500800000000368	epochs	0.0
463.42553992752073	0.5	epochs	1.0
463.42555392752075	0.5	epochs	-1.0
463.92553992752073	0.05008000000003676	epochs	1.0
463.97561992752077	4.949899999999957	epochs	0.0
483.5420002937317	0.049539999999979045	epochs	0.0
483.5420002937317	0.01977140000002464	epochs	1.0
483.5617716937317	0.009997199999986606	epochs	1.0
483.5717688937317	0.019771399999967798	epochs	1.0
483.59154029373167	2.510400000000004	epochs	0.0
483.59154029373167	0.5	epochs	1.0
483.5915542937317	0.5	epochs	-1.0
484.09154029373167	1.0	epochs	1.0
485.09154029373167	1.0104000000000042	epochs	1.0
485.5915542937317	0.5	epochs	-1.0
486.1019402937317	2.9895799999999895	epochs	0.0
488.75400018692017	0.049539999999979045	epochs	0.0
488.75400018692017	0.01977140000002464	epochs	1.0
488.7737715869202	0.009997199999986606	epochs	1.0
488.7837687869202	0.019771399999967798	epochs	1.0
488.80354018692015	4.5301000000000045	epochs	0.0
488.80354018692015	0.5	epochs	1.0
488.80355418692017	0.5	epochs	-1.0
489.30354018692015	1.0	epochs	1.0
490.30354018692015	3.0301000000000045	epochs	1.0
490.80355418692017	0.5	epochs	-1.0
491.30355418692017	0.5	epochs	-1.0
491.80355418692017	0.5	epochs	-1.0
492.30355418692017	0.5	epochs	-1.0
492.80355418692017	0.5	epochs	-1.0
493.33364018692015	0.9698799999999892	epochs	0.0
493.9210000038147	0.049539999999979045	epochs	0.0
493.9210000038147	0.01977140000002464	epochs	1.0
493.9407714038147	0.009997199999986606	epochs	1.0
493.9507686038147	0.019771399999967798	epochs	1.0
493.9705400038147	2.5100199999999973	epochs	0.0
493.9705400038147	0.5	epochs	1.0
493.9705540038147	0.5	epochs	-1.0
494.4705400038147	1.0	epochs	1.0
495.4705400038147	1.0100199999999973	epochs	1.0
495.9705540038147	0.5	epochs	-1.0
496.4805600038147	2.9899599999999964	epochs	0.0
499.1010003089905	0.049539999999979045	epochs	0.0
499.1010003089905	0.01977140000002464	epochs	1.0
499.1207717089905	0.009997199999986606	epochs	1.0
499.1307689089905	0.019771399999967798	epochs	1.0
499.15054030899046	0.5508200000000443	epochs	0.0
499.15054030899046	0.5	epochs	1.0
499.1505543089905	0.5	epochs	-1.0
499.65054030899046	0.050820000000044274	epochs	1.0
499.7013603089905	4.949159999999949	epochs	0.0
519.2890000343323	0.049539999999979045	epochs	0.0
519.2890000343323	0.019771399999967798	epochs	1.0
519.3087714343322	0.009997200000043449	epochs	1.0
519.3187686343323	0.019771399999967798	epochs	1.0
519.3385400343323	0.5507000000000062	epochs	0.0
519.3385400343323	0.5	epochs	1.0
519.3385540343322	0.5	epochs	-1.0
519.8385400343323	0.050700000000006185	epochs	1.0
519.8892400343323	4.949280000000044	epochs	0.0
539.4640002250671	0.049539999999979045	epochs	0.0
